Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID
Caricature,80.2314466,LangeTwins Winery & Vineyards,California,California,USA,Red Blend,2011,,Red,54a0ee73abd365020000000b
Coutet,80.2314466,Chateau Coutet,Sauternes,,France,"Semillon, Sauvignon Blanc, Muscadelle",1996,,White,53f8f8b1fd8cb10200000002
Cheval des Andes,80.2314466,Terrazas de los Andes,Mendoza,,Argentina,"Malbec, Cabernet Sauvignon, Petit Verdot",2006,,Red,53bceefd45b03a020000004c
Altenberg de Bergheim Vielles Vignes,80.2314466,Gustave Lorentz,Alsace Grand Cru,,France,Gewurztraminer,2008,,White,53a266d297ca8b0200000003
Château Palmer,80.2314466,Château Palmer,Margaux,,France,"Cabernet Sauvignon, Merlot, petit Verdot",2001,,Red,53961247cb0161020000000c
7,80.2314466,Sand Reckoner,Willcox,,USA,Syrah,2010,,Red,53018425ad5a91020000000d
Meritage,80.22515727999999,Uppercut,Napa County,,USA,"Merlot, Cabernet Sauvignon",2013,,Red,563a97846cf1d303000000a3
Achaval Ferrer Malbec,80.22511234285714,Achaval Ferrer,Mendoza,,Argentina,Malbec,2015,,Red,5e94def85fd8fd7ae861dc0d
Intercept by Charles Woodson Cabernet Sauvignon 2016,80.224757864,Intercept Cellars,Paso Robles,,USA,Cabernet Sauvignon,2016,,Red,5e94ded15fd8fd7ae861d867
J Lohr & Seven Oaks Cabernet Sauvignon 2017,80.2233869111111,J Lohr Vineyards & Wines,California,,USA,Cabernet Sauvignon,2017,,Red,5e94ded25fd8fd7ae861d879
Jean Marc Brocard Chablis 2017,80.2189466,Jean-Marc Brocard,Chablis,,France,Chardonnay,2017,,White,5e59c85d9f7fff2f499a3637
Morlet Family Vineyards Chardonnay Ma Douce,80.2189466,Morlet Family Vineyards,Sonoma County,California,USA,Chardonnay,2013,,White,5ad77d39128caabb7db028b8
LFNG Blind Trust Red Laughing Stock 2016 VQA,80.21851245217391,Laughing Stock Vineyards,Okanagan Valley,,Canada,"Merlot, Cabernet Sauvignon, Cabernet Franc, Malbec",2016,,Red,5e94dedf5fd8fd7ae861d9d9
Majestic Red,80.21515728,Diversion,Washington,,USA,"Malbec, Petit Verdot",2013,,Red,564397c685e1440300000112
Peter & Peter,80.21515728,Feinherb,Mosel,,Germany,Riesling,2011,,White,54e1746dabdc16030000000b
Buena Vista Carneros Pinot Noir 2010,80.20644659999999,Buena Vista,California,,USA,Pinot Noir,2010,,Red,5e94def25fd8fd7ae861db75
Wayfarer Pinot Noir Wayfarer Wayfarer Vineyard,80.20644659999999,Wayfarer,Sonoma County,California,USA,Pinot Noir,2012,,Red,5ad77d39128caabb7db0292a
Dom Perignon Champagne,80.20644659999999,Dom Perignon,,Champagne,France,Champagne Blend,2004,Sparkling,White,5ad77d38128caabb7db02840
Chateau de Beaucastel Chateauneuf-du-Pape,80.20644659999999,Chateau de Beaucastel,Southern Rhone,Rhone,France,Red Rhone Blend,2012,,Red,5ad77d38128caabb7db02721
Quintessa,80.20644659999999,Quintessa,Rutherford,California,USA,"Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot, Carmenere",2012,Dry,Red,5718e9c8115cab5947f4e345
Stave & Steel Bourbon Barrel Aged Cabernet Sauvignon,80.20122792380951,Stave & Steel Wine Co.,"Livermore Valley, California",,USA,Cabernet Sauvignon,2015,,Red,5e94dee25fd8fd7ae861da27
Synchromesh,80.19654091428572,Synchromesh  Wines,Okanagan Valley,,Canada,Riesling,2014,,White,5708069b081f81dd2ffaaf37
Niepoort Vintage Port 2011,80.1939466,Niepoort,Oporto,Douro,Portugal,Port,2011,Dessert,Red,5f065fb5fbfd6e17acaad2af
Dogpoint Pinot Noir 2016,80.1939466,Dogpoint  JS 96  2oz 9.50  5oz 23.00  8oz 35.25  btl 110,Marlborough,,New Zealand,Pinot Noir,2016,,Red,5cb6126564e866377cb4a9e0
Collosorbo Brunello di Montalcino Sangiovese 2012,80.1939466,Collosorbo  JS 95  btl 105,Tuscany,,Italy,Sangiovese,2012,,Red,5ca53e7afd0bf83408c5e32c
Sauternes,80.1939466,Chateau de Rayne Vigneau,Bordeaux,,France,"Semillon, Sauvignon Blanc",2007,Dessert,White,57bb9e06e951a07f620d4550
Chat Fou,80.1939466,Eric Texier,Cotes du Rhone,,France,"Grenache, Syrah, Mourvedre",2012,,Red,56a60bf78b5fc90300e5f1d9
Marichel Vineyard,80.1939466,Marichel Vineyard,Okanagan Valley,British Columbia,Canada,Syrah,2009,,Red,56009edad147580300000095
Taken,80.1939466,Taken Wine Co.,Napa Valley,,USA,"60% Cabernet, 40% Merlot",2011,,Red,5430693f26e7c00200000005
Le Serre Nuove,80.1939466,Tenuta dell Ornelaia,Tuscany,,Italy,"Cabernet Sauvignon, Merlot, Cabernet Franc",2010,,Red,54075ee300bd020200000002
Wine O'Clock Cabernet Sauvignon 750ml,80.19171909333333,Mark Anthony Cellars - CIC,Okanagan Valley,British Columbia,Canada,Cabernet Sauvignon,nv,,Red,5e94df305fd8fd7ae861e1a5
L'Ouverture,80.18515728,Terroir Cellars,Bergerac,,France,Cabernet Sauvignon Merlot Malbec,2010,,Red,532a4e984ba1f80200000021
Kendall Jackson Outland Ridge Pinot Noir 2016,80.1814466,Kendall-Jackson,Anderson Valley,California,USA,Pinot Noir,2016,,Red,5f32ae5c95b08a592c7ad86f
Jacques Carillon Puligny Montrachet 1er Cru 'Les Referts' 2017,80.1814466,Domaine Jacques Carillon,Cote de Beaune,Burgundy,France,Chardonnay,2017,,White,5f065fb5fbfd6e17acaad153
Harlan Estate 2014,80.1689466,Harlan Estate,Napa Valley,California,USA,"Cabernet Sauvignon, Merlot",2014,,Red,5f065fb5fbfd6e17acaad178
Willows Bonesetter Shiraz 2013,80.1689466,Willows Vineyard  btl 155,Barossa,,Australia,Syrah,2013,,Red,5cb647ec64e866377cb4aaa5
Penfolds Grange 1992,80.1689466,Penfolds,,South Australia,Australia,Syrah Blend,1992,,Red,5ad77d39128caabb7db028da
Giuseppe E Figlio Mascarello Barolo Monprivato,80.1689466,Giuseppe E Figlio Mascarello,Langhe,Piedmont,Italy,Nebbiolo,2011,,Red,5ad77d39128caabb7db0285c
Chateau La Mission Haut-Brion,80.1689466,Chateau La Mission Haut-Brion,Graves,Bordeaux,France,Red Bordeaux Blend,1959,,Red,5ad77d38128caabb7db027a0
Chateau Gruaud Larose,80.1689466,Chateau Gruaud Larose,Medoc,Bordeaux,France,Red Bordeaux Blend,1982,,Red,5ad77d38128caabb7db02778
I Selvatici Titolato Reserva,80.1689466,I Selvatici,Chianti,,Italy,Chianti,2009,,Red,57003d36f4478a66320de97b
Poplar Grove Winery,80.1689466,Poplar Grove Winery,Okanagan Valley,British Columbia,Canada,Cabernet Sauvignon,2009,,Red,559e04eae0b2e10300000050
Fergalicious,80.1689466,Ferguson Crest,Santa Ynez Valley,N/A,USA,"Grenache, Merlot, Syrah",2011,,Red,553ffe6c861cc20300000006
Leoville las Cases,80.1689466,Château Leoville las Cases,Saint-Julien,N/A,Franc,"Cabernet Sauvignon, Merlot",1998,,Red,53b52f18e5245e0200000003
Frank Family Vineyards,80.1689466,Frank Family Vineyards,Napa Valley,California,USA,Zinfandel,nv,,Red,535a64c77dd3dc0200007da8
Rodney Strong Vineyards Cabernet Sauvignon,80.16515727999999,Rodney Strong Vineyards,Sonoma County,California,USA,Cabernet Sauvignon,2013,Dry,Red,55e6404190bd3203000002b4
Almaviva,80.16515727999999,Almaviva,,N/A,Chile,Carbenet,2006,,Red,52a1f7a425cda80200000004
Rodney Strong,80.16263106666668,Rodney Strong Vineyards,Napa Valley,California,USA,Cabernet Sauvignon,2002,,Red,543f179d7c8ffb0200000036
La Dame de Bouard,80.15644660000001,Coralie de Bouard,Bordeaux St. Emilion,,France,Bordeaux,2016,,Red,5daa8d173d399f14a9eb5886
Fel Wines,80.1564466,Fel Wines,Alexander Valley,N/A,USA,Pinot Noir,2012,,Red,556d09405bafc90300000007
Domaine Skouras,80.1564466,Domaine Skouras,Peloponnese,,Greece,Moschofilero,2013,,White,556a385b72f2c9030000008b
Pinnacle,80.1564466,Powell Mountain Cellars,Paso Robles,California,USA,"Cabernet Sauvignon, Cabernet Franc, Petite Verdot, Malbec, Merlot",2010,Meritage,Red,55634c0b47dccc0300000009
Aigle Royale,80.1564466,Gerard Bertrand,Languedoc,,France,Chardonnay,2008,,White,5415bb4e42a17b0200000033
Erdener Treppchen Auslese,80.1564466,Dr. Loosen,Mosel,,Germany,Riesling,2006,,White,5412eddfb6aaa60200000089
Rosa Regale Brachetto d'Acqui DOCG,80.1564466,Banfi,Piedmont,N/A,Italy,Brachetto,2011,,Red,53bd363e5863b40200000009
The Composer,80.1564466,Rasa Vineyards 2011,Washington State,,USA,Riesling,2011,,White,538cd5ef6eb0490200000019
Parcel 41,80.1564466,Nine Worth Wine Co,Napa Valley,California,USA,Merlot,nv,,Red,535a5f8c7dd3dc0200001cd8
Chateau Montdoyen Ainsi Soit il Monbazillac 2008,80.15429773333334,Chateau Montdoyen,Monbazillac,,France,"Semillon, Sauvignn Blanc, Muscadelle",2008,,White,5e94dece5fd8fd7ae861d803
Rocca Sveva Soave Classico,80.15368377142856,Rocca Sveva,Veneto,,Italy,Garganega,2013,,White,55eedee37866460300000004
Vin Santo Casa Sola,80.1532233,Casa Sola,Tuscany,,Italy,"Malvasia 60 %, Trebbiano 40 %",2003,Dessert,White,5e94def05fd8fd7ae861db43
Mission Hill Reserve Merlot 2014,80.149243325,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,Merlot,2014,,Red,5e94df7c5fd8fd7ae861e93b
Mezzacorona,80.14848665,Mezzacorona,Trentino,,Italy,Pinot Gris,2016,,White,5e94deeb5fd8fd7ae861dae1
Jacques Carillon Puligny Montrachet 1er Cru 'Les Perrieres' 2017,80.14394659999999,Domaine Jacques Carillon,Cote de Beaune,Burgundy,France,Chardonnay,2017,,White,5f065fb5fbfd6e17acaad1c4
Domaine Denis Mortet Gevrey-Chambertin Mes Cinq Terroirs 2015,80.14394659999999,Domaine Denis Mortet,Cote de Nuits,Burgundy,France,Pinot Noir,2015,,Red,5f065fb5fbfd6e17acaad317
La Gran Vie,80.14394659999999,Osoyoos Larose,BC,,Canada,Merlot Cabernet Franc Cabernet Sauvignon Petit Verdot,2004,,Red,53f175aa651dcc0200000002
O.P.C.,80.14394659999999,Buoncristiani Family Winery,Napa Valley,,USA,Proprietary Blend,2010,,Red,53bc59af45b03a020000000a
Dom Perignon P-2 2002,80.1314466,Dom Perignon,,Champagne,France,Sparkling Blend,2002,Sparkling,White,5f065fb5fbfd6e17acaad37c
Domaine Hubert Lignier Chambolle-Musigny 1er Cru les Baudes Magnum 2015,80.1314466,Hubert Lignier,Les Baudes,Burgundy,France,Pinot Noir,2015,,Red,5f065fb5fbfd6e17acaad300
"Bolgheri ""Le Serre Nuove""",80.1314466,Ornellaia e Massetto Società agricola S.r.L.,,,Italy,"Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot",2014,,Red,5e94df655fd8fd7ae861e6fb
Petit & Bajan Obsidienne Brut Grand Cru Avize NV,80.1314466,Petit & Bajan,Champagne,,France,Pinot Noir,nv,Sparkling,Rose,5e605c08ce510b7de8ef3d59
Tenute Rossetti Il Nostro Vin Santo del Chianti 2003,80.1314466,Tenute Rossetti,Tuscany,,Italy,"Trebbiano, Malvasia",2003,Dessert,White,5e4883a1df7be5547fe6c793
Chateau D'Yquem 375ml,80.1314466,Chateau D'Yquem,Sauternes,,France,"Sauvignon Blanc, Semillon",1999,Dessert,White,5b48e8ca9d9703171bfb4dca
Jarvis (California) Winery Chardonnay Unfiltered Finch Hollow Vineyard,80.1314466,Jarvis,Napa Valley,California,USA,Chardonnay,2014,,White,5ad79586329a8da07dfdf9ab
Evening Land Vineyards Chardonnay La Source Seven Springs Vineyard,80.1314466,Evening Land Vineyards,Willamette Valley,Oregon,USA,Chardonnay,2013,,White,5ad77d38128caabb7db0284c
Azelia Barolo,80.1314466,Azelia,Langhe,Piedmont,Italy,Nebbiolo,2011,,Red,5ad77d38128caabb7db02694
Achaval-Ferrer Quimera,80.1314466,Achaval-Ferrer,Lujan de Cuyo,Mendoza,Argentina,Red Bordeaux Blend,2007,,Red,5ad77d38128caabb7db0268e
Trione Pinot Noir,80.1314466,Trione Winery,Sonoma Valley,California,USA,Pinot Noir,2008,,Red,53ae182aecd62c0200000010
Black Sage Merlot 2016,80.12515728000001,Black Sage Vineyard,Okanagan Valley,,Canada,Merlot,2016,,Red,5cd484fe365d46902dc234d2
Estate Merlot,80.12515728000001,Jason-Stephens Winery,Santa Clara Valley,California,USA,Merlot,2010,,Red,540612bae96eba020000000f
Le Grand Vin,80.12515728000001,Osoyoos Larose,Okanagan Valley,British Columbia,Canada,"Merlot, Cabernet Sauvignon, Cabernet Franc, Malbec, Petit Verdot",nv,Blend,Red,52def0212f8d240200000503
Admiral Shorts,80.12511234285715,Prospect Winery,Okanagan Valley,N/A,Canada,,nv,,Red,54221d65c2546a0200000031
Venge Vineyards Silencieux Cabernet Sauvignon 2018,80.1189466,Venge Vineyards,Napa Valley,California,USA,Cabernet Sauvignon,2018,,Red,5f919c4bc8abb30dd63b9cd1
Heitz Martha Vineyard Cabernet 2009,80.1189466,Heitz Cellar,Napa Valley,California,USA,Cabernet Sauvignon,2009,,Red,5f065fb5fbfd6e17acaad21e
Ascension,80.1189466,Bodega Colome,Salta,,Argentina,Malbec,2013,,Red,56e73c581bff8c762d64dde0
Dry Creek Valley,80.1189466,Folie A Deux,Sonoma County,,USA,Zinfandel,2012,,Red,5594993b95da3e0300000002
Magill Estate,80.1189466,Penfolds,Barossa Valley,,Australia,Syrah,2006,,Red,5457e4b3eb5fc40200000018
Oak Farm Vineyards,80.1189466,Oak Farm Vineyards,Lodi,,USA,Chardonnay,2012,,White,53efb26f102af00200000006
Langenmorgen GG,80.1189466,Von Winning,Pfalz,,Germany,Riesling,2009,,White,53a2976def06a00200000005
Grand Siecle NV,80.1189466,Laurent-Perrier,,Champagne,France,"Chardonnay, Pinot Noir",nv,,White,530b9a4f57428602000004c6
Bulas Port Tawny 30 Year Old NV,80.11894659999999,Bulas Wines,Porto,,Portugal,Port Red Blend,nv,Fortified,Red,5e5f0a0d17dcc26950a85307
Chloe Chardonnay 2016,80.11253574545454,Chloe Wines,"Livermore Valley, California",,USA,Chardonnay,2016,,White,5e94dee25fd8fd7ae861da31
Screw It! Pinot Grigio,80.1064466,Mark Anthony Cellars - CIC,Okanagan Valley,British Columbia,Canada,Pinot Gris,nv,,White,5e94df505fd8fd7ae861e4d3
Cantine Pellegrino Passito di Pantelleria Zibibbo 2017,80.1064466,Cantine Pellegrino,Pantelleria,Sicily,Italy,Zibibbo,2017,Dessert,White,5e84ad9e3173041872ccb4ee
Inniskillin Vidal Icewine Niagara Peninsula VQA,80.1064466,Inniskillin,Niagara Peninsula,Ontario,Canada,Vidal,2007,Dessert,White,5ad77d39128caabb7db02877
Dona Paula Estate,80.10429773333334,Vina Dona Paula,Mendoza,Mendoza,Argentina,Malbec,2012,,Red,54fcfeab2ffa0a030000001d
Bonamici,80.10429773333334,Bonamici,Okanagan Valley,,Canada,"Merlot, Cabernet Franc",2012,,Red,540129240d04990200000002
Red Rooster Pinot Noir 2016,80.10368377142856,Red Rooster Winery,Okanagan Valley,,Canada,Pinot Noir,2016,,Red,5e94dedb5fd8fd7ae861d97d
Rombauer Chardonnay 2015,80.09515728000001,Rombauer Vineyards  $75,"Carneros, Napa Valley",,USA,Chardonnay,2015,,White,5a7a75af4281413625aa0bb8
Dragon Tree Cape Blend,80.09515728,Flagstone,Stellenbosch,N/A,South Africa,"Cabernet Sauvignon, Pinotage, Shiraz",2012,,Red,54c9b1d613f3a60300000021
Tre Saggi,80.09515728,Talamonti,Abruzzo,,Italy,Montepulciano,2011,,Red,549e0558a7d2060200000006
Pommard Grand Vin de Bourgogne,80.09515728,Domaine Blain-Gagnard,Pommard,,France,Pinot Noir,2010,,Red,5487b09efbf04c0200000004
Le Drunk Rooster Red,80.09515728,Le Drunk Rooster,Pays D'oc,,France,Grenache Syrah,2011,,Red,545c022a7a47780200000006
Sequel Syrah Columbia Valley,80.0939466,Sequel,Columbia Valley,Washington,USA,Syrah,2005,,Red,5f29db508993737b578010fc
Les Halos De Jupiter Châteauneuf-du-Pape Adrastée Rouge 2015,80.0939466,Les Halos De Jupiter,Châteauneuf-du-Pape,,France,Red Rhone Blend,2015,,Red,5e4df442f1cf685e9d98826e
L'Ecole 41 Apogee Red 2014,80.0939466,L'Ecole 41  RB 94  btl 135,Walla Walla,,USA,"Cabernet Sauvignon, Merlot, Malbec, Cabernet Franc",2014,,Red,5cb64688211d501c7c5b77d1
Marcel Lapierre Morgon Gamay Noir 2017,80.0939466,Marcel Lapierre  JS 94  btl 75,Beaujolais,,France,Gamay Noir,2017,,Red,5cb6464764e866377cb4aaa2
I Giusti & Zanza Dulcamara Red 2012,80.0939466,I Giusti & Zanza  JS 94  btl 95,Tuscany,,Italy,"Cabernet Sauvignon, Merlot, Petit Verdot",2012,,Red,5cb6462064e866377cb4aaa1
Tre Monte Thea Superiore Riserva,80.0939466,Tre Monti,Romagna,,Italy,Sangiovese,2015,,Red,5bbe6c3170cf6cd621727b8d
Arkenstone SBL 'NVD' Cabernet Sauvignon 2014,80.0939466,Arkenstone Vineyards,Napa Valley,,USA,Cabernet Sauvignon,2014,,Red,5bb6499bf25933556790d8e7
Howell Mountain Cabernet Sauvignon 2014,80.0939466,Dunn Vineyards,"Howell Mountain, California",,USA,Cabernet Sauvignon,2014,,Red,5ba31568002f7b1e74085d14
Balfour Leslies Reserve,80.0939466,Balfour,Kent,,United Kingdom,"Chardonnay, Pinot Noir, Pinot Meunier",nv,Sparkling,White,5b8049e7e02509a66b111fa8
Xavier Monnot Chardonnay 2015,80.0939466,Xavier Monnot,Meursault - Les Chevalieres,,France,Chardonnay,2015,,White,5b6c7e49cf410ebb0e12b8c9
Continuum 375ml,80.0939466,Continuum Estate,Napa Valley,,USA,"Cabernet Sauvignon, Cabernet Franc",2015,,Red,5b48e29b9d9703171bfb4dc3
Petrus 1962,80.0939466,Petrus,Libournais,Bordeaux,France,Red Bordeaux Blend,1962,,Red,5ad77d39128caabb7db028e4
Opus One Red 2007,80.0939466,Opus One,Napa Valley,California,USA,Red Bordeaux Blend,2007,,Red,5ad77d39128caabb7db028c1
Hamilton Russell Vineyards Chardonnay,80.0939466,Hamilton Russell Vineyards,Walker Bay,Cape South Coast,South Africa,Chardonnay,2015,,White,5ad77d39128caabb7db02863
Dolce Winery Late Harvest,80.0939466,Dolce Winery,Napa Valley,California,USA,"Semillon, Sauvignon Blanc",2006,Dessert,White,5ad77d38128caabb7db0283f
Grand Total Reserve,80.0939466,La Frenz Winery,Okanagan Valley,British Columbia,Canada,"Cabernet Sauvignon, Merlot, Cabernet Franc, Malbec, Petite Verdot",2008,Blend,Red,56bb62dd31b22a0300b8f7b5
Etude Pinot Noir Carneros,80.0939466,Etude Wines,Napa Valley,California,USA,Pinot Noir,nv,,Red,535a5fb27dd3dc0200002e7d
Estate,80.08515728,Willamette Valley Vineyards,Willamette Valley,,USA,Pinot Noir,2014,,Red,56ca27a5b4c40f0300473a42
Caduceus Nagual De La Naga,80.08515728,Caduceus Cellars & Merkin Vineyards,,Arizona,USA,"Cabernet Sauvignon, Sangiovese",2012,,Red,5564998b18d7590300000013
Cuvelier Los Andes Cabernet Sauvignon,80.08515728,Cuvelier Los Andes,Mendoza,N/A,Argentina,Cabernet Sauvignon,2011,N/A,Red,5384d7029cd8e5020000000b
Castello di Gabbiano - Alleanza IGT,80.0844733,Castello di Gabbiano,Tuscany,,Italy,"Cabernet, Merlot, Sangiovese",2011,,Red,5e94def75fd8fd7ae861dc07
Hardy's,80.08225519999999,Hardy's,South Eastern Australia,N/A,Australia,"Riesling, Gewurztraminer",2013,,White,54c9a31e13f3a6030000000b
Bellacosa Cabernet Sauvignon 2015,80.08144659999999,Daniel Cohn Wine Company,North Coast,,USA,Cabernet Sauvignon,2015,,Red,5c6dd9cf2e7c4a260b1d45b2
Harlan Estate  1999,80.08144659999999,Harlan Estate,Napa Valley,California,USA,Red Bordeaux Blend,1999,,Red,5ad77d39128caabb7db0286a
Domaine Serene Chardonnay Evenstad Reserve,80.08144659999999,Domaine Serene,Willamette Valley,Oregon,USA,Chardonnay,2014,,White,5ad77d38128caabb7db02846
Pavie,80.08144659999999,Chateau Pavie,Saint-Emilion,,France,"Merlot, Cabernet Franc",1988,,Red,53c98af165fc0f0200000009
Palme d'Or,80.08144659999999,Nicolas Feuillatte,Champagne,,France,"Pinot Noir, Chardonnay",1999,,White,53b5b755e88ecb0200000003
Cidrerie du Minot,80.08144659999999,Cidrerie du Minot,,Quebec,Canada,,nv,,White,535973d0682acc02000002a4
Robert Hall Cabernet Sauvignon 2016,80.07743481941748,Robert Hall,Paso Robles,,USA,Cabernet Sauvignon,2016,,Red,5e94ded15fd8fd7ae861d861
Irony Cabernet Sauvignon,80.07515728000001,Irony,North Coast,,USA,Cabernet Sauvignon,2012,,Red,5386527efdc66e020000001b
U By Undurraga Pinot Noir,80.0719733,Undurraga,Central Valley,,Chile,Pinot Noir,2014,,Red,5731eccbf293c39b3d659a4d
Monasterio de Las Vinas Reserva,80.0709644,Grandes Vinos Y Vinedos,Carinena,,Spain,Grenache,2006,,Red,530b9a4f57428602000002d3
Louis Jadot Montrachet Grand Cru 2010,80.0689466,Louis Jadot,,Burgundy,France,Chardonnay,2010,,White,5f065fb5fbfd6e17acaad263
Bulas Reserva Tawny NV,80.0689466,Bulas Wines,Porto,,Portugal,"Touriga Nacional, Touriga Franca",nv,Fortified,Red,5e61a975a95321039779c262
Del Dotto Cave Red 2016,80.0689466,Del Dotto,Napa Valley,,USA,"Cabernet Sauvignon, Merlot",2016,,Red,5b71ac866f6140303c4c87a9
Altesino Brunello do Montalcino Riserva 2012,80.0689466,Altesino,"Montalcino, Tuscany",,Italy,Sangiovese,2012,,Red,5b199e036407dc41119d453e
Penfolds Grange 1999,80.0689466,Penfolds,,South Australia,Australia,Syrah Blend,1999,,Red,5ad77d39128caabb7db028d5
Harlan Estate 2002,80.0689466,Harlan Estate,Napa Valley,California,USA,Red Bordeaux Blend,2002,,Red,5ad77d39128caabb7db02868
Forchini Vineyards & Winery,80.0689466,Forchini Vineyards & Winery,Dry Creek Valley & Russian River Valley,California,USA,Cabernet Sauvignon,2013,,Red,58d5cd8d9da830d278155f95
Substance,80.0689466,Charles Smith Wines,Washington State,Washington,USA,Cabernet Sauvignon,2013,,Red,566a2983584fcb0300a0053e
College Fund Red,80.0689466,Sharp's Hill Vineyards,California,California,USA,Cabernet Franc,2007,,Red,53caf43edec3f90200000013
Billecart-Salmon Brut Sous Bois NV,80.0564466,Billecart-Salmon,Champagne,Champagne,France,Sparkling Blend,nv,Sparkling,White,5f065fb5fbfd6e17acaad1b1
Dominus Napanook Red 2014,80.0564466,Dominus Estate,Napa Valley,California,USA,"Cabernet Sauvignon, Cabernet Franc, Petit Verdot",2014,,Red,5f065fb5fbfd6e17acaad32f
Casanova di Neri Brunello di Montalcino 2015,80.0564466,Casanova di Neri,Brunello di Montalcino,Tuscany,Italy,Sangiovese,2015,,Red,5f065fb5fbfd6e17acaad362
Cantine Florio Malvasia delle Lipari White 2009,80.0564466,Cantine Florio,Malvasia delle Lipari,Sicily,Italy,"Malvasia di Lipari, Corinto",2009,Dessert,White,5e8b9226731b416c49dd9904
Cliff Lede Cabernet Sauvignon Stag's Leap District 2016,80.0564466,Cliff Lede Vineyards,Stags Leap District,,USA,Cabernet Sauvignon,2016,,Red,5e51e4f427ae0e4b0dbdf073
Inniskillin Riesling Ice Wine 2016,80.0564466,Inniskillin Okanagan Darkhorse Vineyard,Okanagan Valley,,Canada,Riesling,2016,Dessert,White,5ccb85edae05dd73546bd889
Col Solare Red Blend 2015,80.0564466,Col Solare,"Columbia Valley, Washington",,USA,"Cabernet Sauvignon, Merlot, Syrah",2015,,Red,5cae72f83b2f2af4211d31c3
Velenosi Lacrima Di Morro D'Alba,80.0564466,Velenosi,Marche,,Italy,Lacrima,2016,,Red,5bae482c7075b46d2eaccbe9
Merry Edwards Sauvignon Blanc,80.0564466,Merry Edwards,Sonoma County,California,USA,Sauvignon Blanc,2013,,White,5ad77d39128caabb7db028b0
Qwam Qwmt,80.0564466,Nk’Mip Cellars,Okanagan Valley,,Canada,Syrah,2009,,Red,554cfa9e9c28420300000018
Auntsfield Single Vineyard,80.0564466,Auntsfield,Marlborough,,New Zealand,Pinot Noir,2012,,Red,5363f0ae6613f40200000021
Barefoot Riesling,80.04563449411764,E & J Gallo Winery,,California,USA,Riesling,nv,,White,535a5f8d7dd3dc0200001fa9
Carnivor,80.04515728,E & J Gallo Winery,California,,USA,Cabernet Sauvignon,2013,,Red,571ac213e8cab57e58966da7
Cloudy Bay Vineyards,80.04515727999998,Cloudy Bay Vineyards,Wairau Valley,,New Zealand,Sauvignon Blanc,2013,,White,54f663181a35d80300000005
Vietti Barolo Lazzarito 2016,80.0439466,Vietti,Barolo,Piedmont,Italy,Nebbiolo,2016,,Red,5f065fb5fbfd6e17acaad2d2
Castello di Volpaia 'Prelius' Cabernet Sauvignon 2018,80.0439466,Castello di Volpaia,Maremma Toscana,Tuscany,Italy,Cabernet Sauvignon,2018,,Red,5f065fb5fbfd6e17acaad2cf
Chateau La Tour Blanches Sauternes 2005,80.0439466,Chateau La Tour Blanches,Bordeaux,,France,"Semillon, Sauvignon Blanc",2005,Dessert,White,5e4888a6eeb4155ea6d67ff6
Bulas Colheita Port 1996,80.0439466,Bulas,Duoro,,Portugal,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca, Tinta Cao",1996,Fortified,Red,5e488080a13aa759fb44551e
Sea Smoke Pinot Noir Southing,80.0439466,Sea Smoke,Central Coast,California,USA,Pinot Noir,2012,,Red,5ad77d39128caabb7db0290b
Del Dotto Cabernet Sauvignon Howell Mountain,80.0439466,Del Dotto,Napa Valley,California,USA,Cabernet Sauvignon,2011,,Red,5ad77d38128caabb7db0283c
Charles Heidsieck Champagne Brut Reserve,80.0439466,Charles Heidsieck,,Champagne,France,Champagne Blend,nv,Sparkling,White,5ad77d38128caabb7db026c6
Barnett Vineyards Merlot Spring Mountain District,80.0439466,Barnett Vineyards,Napa Valley,California,USA,Merlot,2015,,Red,5ad77d38128caabb7db02696
Maggio Family Vineyards,80.0439466,Maggio Family Vineyards,Lodi,,USA,Cabernet Sauvignon,2014,,Red,57a4fa57a0d2153e5ad24884
Ovid Napa Valley,80.0439466,Ovid Napa Valley,Napa,California,USA,"Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot",2012,,Red,5718f1b8115cab5947f4e3a0
8Th  Generation  Vineyard,80.0439466,8Th  Generation  Vineyard,Okanagan Valley,,Canada,Merlot,nv,,Red,5573ca56319881030000000e
Brut Tradition Grand Cru,80.0439466,Egly-Ouriet,Champagne,,France,Chardonnay Pinot Noir Pinot Meunier,nv,,White,543d5f9f5676d00200000042
Howell Mountain Reserve Cabernet,80.0439466,Ladera Vineyards,Howell Mountain,California,USA,Cabernet Sauvignon,2010,,Red,543c5ec21c68a00200000022
Estate Syrah,80.0439466,Cottonwood Canyon,Santa Maria Valley,,USA,Syrah,nv,,Red,540243a90d0499020000002e
John Forrest Estate Collection,80.0439466,John Forrest Estate Collection Pinot Noir Waitaki,Waitaki Valley,,New Zealand,Pinot Noir,2011,,Red,53697c33b5d3ce0200000004
Ascent,80.0439466,Powell Mountain Cellars,Paso Robles,California,USA,"Syrah, Mourvedre, Grenache",nv,,Red,535a6cd37dd3dc020000975e
